tweet_id,user_id,date,keywords/0,location,location/country,location/state,location/city
1239038593873608700,52202325,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,,,
1239038593806598100,245851216,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,,,
1239038593873645600,537602958,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,Bolivia,,
1239038593902891000,628222169,Sun Mar 15 03:59:55 +0000 2020,covid19,,,,
1239038593999310800,4722067759,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,,,
1239038593949040600,1161190120839499800,Sun Mar 15 03:59:55 +0000 2020,covid,,India,,
1239038594062397400,550478337,Sun Mar 15 03:59:55 +0000 2020,covid,,,,
1239038593999368200,247240382,Sun Mar 15 03:59:55 +0000 2020,covid,,,,
1239038594083422200,67716772,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,,,
1239038594041483300,808693207286644700,Sun Mar 15 03:59:55 +0000 2020,coronavirus,,,,
